DataPoints:,1000,SampleDelay:,10
RPM,Current,Torque,Power (Current),Power (Torque)
100,0.175518991834877,-0.112364688110352,40.3693681220216,-1.1766802623013
200,0.185508009613946,-0.129111764526367,42.6668422112075,-2.70411047285367
300,0.251048197694988,-0.114182513427734,57.7410854698473,-3.58714945352988
400,0.371069304173103,-0.118839608764649,85.3459399598136,-4.97794189134007
500,0.566415759005634,-0.125152944946289,130.275624571296,-6.55299287363983
600,0.724354361543077,-0.127380502319336,166.601503154908,-8.00355300594007
700,0.883719966620389,-0.111608703613281,203.255592322689,-8.18134527812384
800,1.04971094063279,-0.120842102050781,241.433516345541,-10.1236442679222
900,1.21213440829553,-0.109190707397461,278.790913907972,-10.2909817260041
1000,1.36380439253283,-0.140059112548828,313.675010282552,-14.6669559683902
1100,1.53112044033227,-0.120801705932617,352.157701276422,-13.9153575696309
1200,1.65970356204957,-0.142257815551758,381.731819271401,-17.8766443301254
1300,1.77284447771047,-0.12760556640625,407.754229873409,-17.3716707657584
1400,1.87609830434517,-0.152443408203125,431.502609999388,-22.3493709272926
1500,1.976243304018,-0.126647601318359,454.535959924139,-19.8937586948263
1600,2.06410588897265,-0.146857202148438,474.74435446371,-24.6061603944684
1700,2.1871338936598,-0.1488423828125,503.040795541753,-26.4974543952378
1800,2.28646346330982,-0.144369955444336,525.886596561258,-27.2130954853807
