Current,Torque,Power (Current),Power (Torque)
0.44904480010156,-0.151121878051758,103.280304023359,-1.58254460628032
0.482987074799831,-0.148421109008789,111.087027203961,-3.10852443799775
0.618756173592906,-0.180397521972656,142.313919926368,-5.667355297551
0.773789806674185,-0.170558181762695,177.971655535063,-7.14432441113756
0.959503994362618,-0.157083190917969,220.685918703402,-8.22485664317223
1.07335841129344,-0.176230950927735,246.872434597492,-11.0729172153943
1.18996490455117,-0.147393893432617,273.691928046769,-10.8045366984778
1.27257815873419,-0.161313241577148,292.692976508863,-13.514146524414
1.38974526013256,-0.152899307250976,319.641409830489,-14.4104202119591
1.50951154472856,-0.160840029907226,347.18765528757,-16.8431285453235
1.65970356204958,-0.146233947753906,381.731819271403,-16.8449415188672
1.80734736054941,-0.172041296386719,415.689892926364,-21.6193469137032
1.94826386136132,-0.154261233520508,448.100688113104,-21.0004581783415
2.0836762095194,-0.168076705932617,479.245528189461,-24.6413320812158
2.21180065184893,-0.150971835327149,508.714149925253,-23.7146004381369
2.29696212485314,-0.171504605102539,528.301288716222,-28.735872397171
2.40628071228224,-0.148369171142578,553.444563824914,-26.413211557908
2.51269433025521,-0.157360192871094,577.919695958698,-29.661697553478
